Region/Country,Second Tier Authority,Local Authority,Local Authority Code,Calendar Year,Industry Electricity,Industry Gas ,Large Industrial Installations,Industry 'Other',Industry Total,Commercial Electricity,Commercial Gas ,Commercial 'Other',Commercial Total,Public Sector Electricity,Public Sector Gas ,Public Sector 'Other',Public Sector Total,Domestic Electricity,Domestic Gas,Domestic 'Other',Domestic Total,Road Transport (A roads),Road Transport (Motorways),Road Transport (Minor roads),Diesel Railways,Transport 'Other',Transport Total,Net Emissions: Forest land,Net Emissions: Cropland,Net Emissions: Grassland,Net Emissions: Wetlands,Net Emissions: Settlements,Net Emissions: Harvested Wood Products,Net Emissions: Indirect N2O,LULUCF Net Emissions,Agriculture Electricity,Agriculture Gas,Agriculture 'Other',Agriculture Livestock,Agriculture Soils,Agriculture Total,Landfill,Waste Management 'Other',Waste Management Total,Grand Total,"Population ('000s, mid-year estimate)",Per Capita Emissions (tCO2e),Area (km2),Emissions per km2 (kt CO2e)
Scotland,Scotland,Aberdeenshire,S12000034,2013,119.31888514253782,43.905535599079535,1.3577126230213223,80.30041763939455,244.88255100403325,144.7296352357522,22.356262423570573,1.2901207668533525,168.37601842617613,33.805492365620296,11.61546061018823,3.463199723578617,48.884152699387144,297.7799001298788,222.429841960068,192.12715875587406,712.3369008458208,353.74147668331517,0.0,237.6705685477845,11.68123316326852,3.083333922267623,606.1766123166358,-430.3946983164176,696.2008151566564,-272.4810448000248,24.661513134622528,114.92427794420637,0.0,8.954073556785424,141.86493667582835,34.310201134495,1.3808186909542741,93.80633985436978,[x],[x],[x],[x],16.83894790388922,[x],[x],257.77,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2014,107.87090869088976,35.386732587652816,1.3545622363057876,90.2100882032469,234.82229171809524,130.8436401222777,18.01857258424763,1.4093085933500138,150.27152129987533,30.562045361605175,9.361762540570455,3.7051585559398785,43.628966458115514,257.6512992292561,191.01376047307915,169.3832767011796,618.0483364035149,357.9254105868327,0.0,251.8234038026224,11.924879203609509,3.0825704152479845,624.7562640083127,-428.58652185801895,684.5163184589809,-271.52188201839306,23.19474156752004,110.21271783805712,0.0,8.727892247835678,126.54326623598172,31.018330160593504,1.1129043548179856,94.55110686332395,[x],[x],[x],[x],18.171111084726512,[x],[x],260.53,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2015,87.74046495977262,36.218626110736075,1.3169351262070585,94.24460412918879,219.52063032590453,106.42611581455394,18.442164499407134,1.5931530711180386,126.4614333850791,24.858676937940437,9.581844731059595,0.7873589413554328,35.22788061035547,216.73182544617129,204.20853305259678,170.25428278893793,591.194641287706,369.2554252270487,0.0,254.5054702072397,11.749046248637503,3.0409079614102392,638.550849644336,-418.09699464155875,674.4071407350286,-282.132459552761,24.857704745091723,108.45142903309737,0.0,8.50317914704229,115.98999946594024,25.22981166650784,1.139067208997613,98.84151526699596,[x],[x],[x],[x],18.066816904860126,[x],[x],261.96,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2016,68.6546019008908,49.940349160124384,1.3193758060915333,89.08632369148724,209.00065055859395,87.81519801384674,11.79884844546543,1.3078352672697855,100.92188172658194,18.070127740681663,5.842769543452077,0.8080898444114429,24.720987128545186,171.21372973454928,206.66981683263856,171.27150907469226,549.1550556418802,404.4080622489891,0.0,266.1499739221925,11.667957549635522,3.055834438686843,685.2818281595039,-433.79783229130527,667.7788471423007,-285.7861457047567,23.49133132003264,128.3570817529988,0.0,8.536316951182044,108.57959917045225,19.995849432697018,1.0219205197908428,104.26169778816684,[x],[x],[x],[x],18.12734785922204,[x],[x],262.19,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2017,64.19996013594586,48.26072210122417,1.3228991773217231,94.4669353413215,208.25051675581324,76.63277136166536,11.131875992280891,1.445546745609932,89.21019409955619,17.806653404654895,5.5339079580365675,0.8947444076749055,24.23530577036637,147.37281193127276,204.57062384804604,164.08638586177318,516.029821641092,408.08574288405464,0.0,272.07564406332534,11.547118235217214,3.0593653009316113,694.7678704835288,-439.7665835074022,660.4482312867679,-285.8185462486891,23.419684443390445,130.6585477468781,0.0,8.450572903551807,97.39190662449695,18.965739137148482,0.8529179158438962,103.40205525703178,[x],[x],[x],[x],19.316097881909798,[x],[x],261.8,[x],6338.1488,[x]
Scotland,Scotland,Aberdeenshire,S12000034,2018,60.332904264561535,47.06854565492996,1.3236542130019961,95.18059767879865,203.90570181129215,68.16055273480909,13.450727823293366,1.4706718317242373,83.08195238982668,16.299847346211653,7.349429963128965,0.9518200005463079,24.601097309886928,131.58506150527631,204.66451781992507,171.85031667607032,508.09989600127165,374.8645339169963,0.0,267.472958734524,10.929795888595246,3.0342513112938914,656.3015398514094,-443.2692570131984,651.1595344266595,-295.87831460509125,24.02155044613328,135.99207064570228,0.0,8.378736208838896,80.40432010904436,17.040036430091963,0.8928229486400517,102.9614092286948,690.5843433746804,309.7879195612991,1121.2665315434065,77.99012228270064,18.81401403091791,96.80413631361856,2774.465175329756,261.47,10.611026792097586,6338.1488,0.43774061841680906
Scotland,Scotland,Aberdeenshire,S12000034,2019,53.30502494253586,36.184423841260305,1.314073105167315,80.29667999600532,171.10020188496878,59.38078999514563,17.171091052504426,1.342145086939189,77.89402613458924,14.363710252244324,11.697431234461872,0.7935024288216294,26.854643915527827,115.72312285983759,207.75767439719567,163.65312857902134,487.1339258360546,378.7471444418033,0.0,265.96010475568727,11.219918408194989,3.175130218254984,659.1022978239405,-441.251202016485,648.1422323178432,-306.6068242061751,24.25520930259358,141.42931868325036,0.0,8.440518322781276,74.40925240380831,15.142438862487204,1.7141087851298005,103.30410785610736,691.8038844795763,299.59448533925587,1111.5590253225564,75.2891788287832,19.132467359899632,94.42164618868283,2702.475019510129,261.21,10.345986062976644,6338.1488,0.42638238778965387
Scotland,Scotland,Aberdeenshire,S12000034,2020,45.810558394065524,31.313795746839688,1.3378969962203844,85.65800816081466,164.12025929794027,48.76808069312349,18.577299105528727,0.7776315135337455,68.12301131218597,11.505154436461767,11.955042904270908,0.5427063898433088,24.002903730575987,109.1818196676614,196.36966305069166,174.47764354116345,480.0291262595165,286.59535548176376,0.0,227.25357920065102,8.559863436486829,2.8278759546087873,525.2366740735104,-435.1170468425676,648.03178810113,-300.6996883500452,23.284941173979092,141.21161315824767,0.0,8.49230892297143,85.20391616371538,16.583770971677094,5.698220792513459,102.82998858818033,682.9816582800588,258.4216661030397,1066.5153047354693,64.42506863638778,19.039844680593312,83.4649133169811,2496.696108889895,260.78,9.57395547545784,6338.1488,0.39391566649396037
Scotland,Scotland,Angus,S12000041,2005,62.82596071605461,50.78827750245628,3.0265606682271238,42.26303089854946,158.90382978528748,67.6640659255703,6.652255488355686,0.7491432559411018,75.0654646698671,22.028255852644804,8.553012151768359,0.9747338494953793,31.55600185390854,163.91955298168418,132.70537344100597,47.2471654806341,343.87209190332425,172.40917751198344,0.0,80.20681624844644,10.120777993960758,1.2430324913631465,263.97980424575377,-98.98507876921406,258.85467237614773,-93.7891440151124,-0.013169121796544614,37.70721550836335,0.0,3.7992463134081587,107.57374229179624,23.50383268697878,0.9164781907327608,23.953780726649494,[x],[x],[x],[x],5.4461799396124135,[x],[x],111.34,[x],2203.8928,[x]
Scotland,Scotland,Angus,S12000041,2006,65.62854075971998,45.34472106028091,3.005678311306647,39.77193406263942,153.75087419394697,70.6824672150201,5.939257725892021,0.6055954947748805,77.22732043568699,23.010906170216487,7.636288713047463,0.775759430269573,31.422954313533523,168.08188225086136,130.4840053621123,49.03105567106211,347.5969432840358,184.93175999364135,0.0,83.26577500491543,10.050633239358948,1.3600841141388216,279.60825235205454,-100.64235876089165,254.73957874405443,-96.15791545303706,-0.013169121796544614,34.1353118936839,0.0,3.651038236387698,95.71248553840076,24.55230646577041,0.8182488156759818,22.672789088945816,[x],[x],[x],[x],6.021127039131509,[x],[x],112.5,[x],2203.8928,[x]
